filename,condition,reference,hypothesis,cer
receipt_01.jpg,fresh,50.0 2026-05-10,50.0 2026-05-10,0.0
receipt_02.jpg,fresh,203.0 2026-05-10,203.0 2026-05-10,0.0
receipt_03.jpg,fresh,44.0 2026-05-10,50.0 2026-05-10,0.1333
receipt_04.jpg,fresh,24.0 2026-05-11,24.0 2026-09-11,0.0667
receipt_05.jpg,fresh,1300.0 2026-05-10,,1.0
receipt_06.jpg,fresh,2000.0 2026-05-11,2020-08-01,0.5294
receipt_07.jpg,fresh,11.0 2026-05-11,11.0 2026-05-11,0.0
receipt_08.jpg,fresh,73.0 2026-05-11,73.0 2026-08-11,0.0667
receipt_09.jpg,moderately_faded,10.0 2026-05-11,10.0,0.7333
receipt_10.jpg,moderately_faded,81.0 2026-05-11,81.0 2026-05-11,0.0
receipt_11.jpg,moderately_faded,59.0 2026-05-10,59.0 2026-05-10,0.0
receipt_12.jpg,moderately_faded,7.0 2026-05-11,7.0 2026-05-11,0.0
receipt_13.jpg,moderately_faded,22.0 2026-05-11,22.0 2026-05-11,0.0
receipt_14.jpg,moderately_faded,8.0 2026-05-10,8.0 2026-08-10,0.0714
receipt_15.jpg,heavily_faded,38.0 2026-05-10,38.0 2026-05-10,0.0
receipt_16.jpg,heavily_faded,50.0 2026-05-10,50.0 2026-05-10,0.0
receipt_17.jpg,heavily_faded,59.0 2026-05-10,59.0 2026-05-10,0.0
receipt_18.jpg,fresh,48.0 2026-05-20,48.0 2026-05-20,0.0
receipt_19.jpg,fresh,10.0 2026-05-20,10.0 2026-05-20,0.0
receipt_20.jpg,fresh,12.0 2026-05-24,12.0 2026-05-24,0.0
receipt_21.jpg,fresh,20.0 2026-05-24,20.0 2026-05-24,0.0
receipt_22.jpg,fresh,15.0 2026-05-24,15.0 2026-05-24,0.0
