filename,condition,extracted_text,avg_confidence
receipt_01.jpg,fresh,"7-ELEWVEDD .
Neribros Inc _
Owned & Operated by: NerIbros
Inc ,
VATREGTIN #479-423-988-000
Unlt 4 & 5, Rea| Marc Bul Idlng ,
Pinikitan; Cagavan De Oro CIty=
Misal ls Ortental Phl I Ippines
Te] #; (02)0000000
05/10/2026(Sun)   17+06,05
INVOICE  #1456745 RESET_CNT#O
STORE#2OO6 SNY;9200064 ,
MIN # 21061716381258246
STAFF;April Rose J, Zaba] lero
NatureSPuriDWSOOm7 15, OOV
JJnu Mr Chips 989 35 , OV
[Jofa] (2) 50 . 00
CASH 50 , 00
CHANGE 0,00
Vatable 44,64
VAT_Amt 5,36
Zero_Rated Sales 0.00
VAT Exempt Sales 0 , 00
Loyalty No;
Name
Address:
TIN=
Iphi] ippine Seven Corporation
7th Fioor The Co lumbia  Tower
Ortigas Avenue, MandaTuyong
City
TIN: 000-390-189-000
BIR Accr #
716-000390189-000346-19602
Date Issued; 08/01/2020
PTU #
FP062021-098-0293524-00000
SAAN MAN PATUNGO KASAMA  NQ ANG
IYONG PABORITONG KAPITBAHAY
Buy P2oo WorTH oF iteMs  GET
CHANCE To WIN KAPITBIYAHE
TRAVEL REWARDS Per DTI_FATR
TRADE Permit  Number;251660
Series of
2026 , facebook , Com/71 Iphi ] Ippine
5
ThiS I8 An INVOICE",0.6397
receipt_02.jpg,fresh,"7-ELEVEDD:
Ner Ibros Inc,
Owned & Operated by: NerIbros
Inc_
VATREGTIN #479-423-988-000
Untt 4 & 5, Rea] Marc 'Bul Iding ,
Piniklt tan, Cagavan De 'Oro  Cty,
MlsamIs Te) #: 08"" 8n882jcoc00050"" Phf Ina8
05/10/2026 (Sun) 16,34;21
AR #1099896 RESET 'CNTHQ
(STORE#2006 SN#:9200064 ,
MIN # 21061716381258246
STAFF April Rose d , Zaba ) lero
#* Acknowledgemant Recelpt #*
Reference No 0 2653-0035-0097
Account No= 09363247108
(Pald To; Kiosk_GCASH
7-CONNECT 200 ,97
Convenfence Fee 2,03
EffectIve May 17, 2021
7-Eleven charges a 1X
conventence fee on a/1 GCash
Cash In transact ions _
This transaction is non-
refundable; For, inquirles ,
kindly ca/ ] 2882 for mobile or
(02) 7392882 for  land] Ine _
Total (1) 203 , 00
CASH 205 _
CHANGE
Loyalty No=
Name_
Address
TIN=
Phi] ippine Seven CorporatIon
7th Flor The Columbia Tower
Ortigas Avenue , Mandaluyong
City
TIN; 000-390-189-(00
BIR Accr #
116-000390189-000346-19602
Date Issued; 08/01/2020
PTU #:
FP062021-098-0293524-00000
SAAN MAN PATUNCO KASAMA MQ ANG
IYONG  PABORITONG KAPITBAHAy
BUY P2o0 WORTH OF ITEMS  GET
CHANCE   To WIN KAPITBiyahe
TRAVEL REWARDS Per DTI_FAIR
TRADE Permft Number:251660
Serles of
2026 , facebook ,co1/71 Iphi ]ippine
S
THIS DOCUMENT  IS NOT VALID FOR
CLAIM OF INPUT  TAX",0.6342
receipt_03.jpg,fresh,"7-ELEVEID .
##kkkkk* ReprInt From #bxkkkth
## Electronlc Journa| ki+t*
Sa Ie
Sun May 10 17,04+24 CST  2026
<o Logo goos heru 5001070
NerAbros Ind,
Owned Operated bv} NerIbros
Inc =
VATREGTIN #479-423-988-000
Unit 4 & 5, Rea/ Marc Bul Iding ,
PinlkItan, Cagavan De Oro Cty,
MIsam Is Orlenta] Pht ) AppInea
Te) #: ""{ozjooodooo
05/10/2026(Sun) , 17,04;24
INVOICE  #2469543 RESET_CNT#O
STORE#2O06 SN#;9200065 ,
Min #; 21061716381258247
STAFF;Jessa Pet1l
SelectaBP IpCaCGOm]
22,00 X 2 44,O01
Tota] (2) 44,00
CASH 50 , 00
CHANGE 6,00
39,29
Vatable
VAT_Amt 4.71
Zero_Rated Sales 0,00
0,00
VAT Exempt Sales
Lovalty No:_
Name
Address
TINF
PhI ] ippine Seven Corporation
7th Floor  The Columbfa  Tower
Ortigas Avenue , Manda luvong
City
TIN; 000-390-189-158
BIR Accr #
716-000390189-000346-19602
Date   Issued; 08/01 /2020
PTU #;
Fpo62021-098-0293525-Oo000
SAAN MAN PATUNGO. KASAMA MQ ANG
IyonG PABORITONG KAPITBAHAy
BUy pzoo WorTH Qe.ITEMG  QET
CHANCE To WIN KAPITBIVAHE
TRAVEL REWARDS Per DTI_FATR
TRADE Permtt Number:251660
Serles pf
2026,facebook . coi/71Iphl 1 Ippine",0.6166
receipt_04.jpg,fresh,"'~ELEVEDD &
RHAINELLA CONUENIENCE STORE
Qwned 8 Operated by: EMILYN
ROXAN Y G0
VATREGTIN 1937-730-464-003
Captaln Vlcente Roa St.,,
Cagayan De Qro Clty, Mlwamls
Orlenta) , PhlI IppInes
Teh #: (02) Oooooqo
05/11/2026 (Mon) 16:42;41
INVOICE  #20031 4336 RESET_ CNT #OCo
STORE42423 SNHF : XTN416B8
MIN #: 24021718530910421
STAFF ;RYAN DATU
7SelectDistDh525m | 24.OOu
Total Amount Due (1) 24.00
CASH IQo , Q0
CHANGE 76 , QQ
Vatable 21 . 43
VAT_Amt 2.57
VAT Exempt Sales 0 , O0
Zero_Rated Sales 0.Q0
Lovalty N= #ltr7
Name Peuhaie
Address L
TIN=
Phi 1 Ipplne Seven Corporation
7th Floor The Columbia Tower
Ortigas Avenue, Mandaluvong
City
TIN; 000-390-189-QoQ
BIR Accr
7) 1160003901892019081144
Date Issued: 08/01 /*2020
PTU #;
FPO22024-098-043181 8-Q0003
SAAN MAN PATUNGO KASAMA MQ ANG
IYONG PABORITTONG  KAFITBAHAY
BUY Pzoq WORTH @F iTeMS GET 4
CHANCE   to Win  KAPITBIYAHE
TRAUEL  REHARDS Per DTI FAIR
TRADE Fermlt Number:251860
Series @f
2026 . facebodk , com/71 Iphi | ipplne
8
THIS IS AN INUOICE",0.6243
receipt_05.jpg,fresh,"7-CONNECT
Please bring this sl ip to the
cash ler for pavment _
Php 1 300 . 00
H
22653-0027-6361
Payment el /p val Id unti /
May 10, 2026 , Sun 3;15 PM
GCASH CASH IN
Mobi le Number 09526499364
Amount Php 1287,00
Conven ience Fea Php 13,00
For , Inquiries , kindly call 2882  for
mobfle or
(02) .7392882 for
Iandl ine ,
N need to get thTs &/ Tp next
t imel
S8e Pay b}!/e or buy Ioad, download
OF CLIQG app at cl Idq,net;
lapp.
ehop
onl Ine at c/ (qqshop,com",0.6445
receipt_06.jpg,fresh,"7-ELEMEI .
RHAINELLA CONUENIENCE STOR:
Owred & Operaled by; EMILYV
ROXAN Y go
VAIREGT IN 1937-730-464-003
Laplaln Uicento Roa St,e
Caguvan De Oro Citv, Mlgams
Or Icntal - Ph/ H ppIncx
Tol I: (02) uOOQuoo
05/ | | /2026 (Mpn) 16;69; |2
AR' #100031296 RESE ( _ CHNI ICcJo
SIORLH2423 SNIF:XTN41687
MIN # 24021 718530910420
STAFF ;RYAN DATU
KX Ackridl | adgellent Recelpt #x
Reference No: 2663-1041-0433
Account No; NF6g3607
Patc To: Klosk_B | 1 IsPayment
7-CONNECT zodo , (C)
NF563507
09392550576
09392550578
Amount; 2q00
?nvenlence Fee: 0.0Q
Total Amount: 20Q0
Ema = address
ecpayesupport,phi seven,CoM
Hot| Ines: Larid] ire:
(O2) 7816-5851 / (02) 7622-(I260
For SMART  subscribers;
0919-08-ECPAY (0919-08-32729) /09
18-2755555/0919-0732729 For
GLOBE  subscribers=
0917-72-ECPAY (0917-72-32729) /09
17-51.82982/0967-2847000/955-079
7186
Tota]  Amount Due (1) 2Q0d , Q0)
CASH 2oqo,
CHANGE
Loyalty No:
Name; FanD
Address=
TIN:
Phl ippine_Seven Corporatlon
7th Floor The Columbia Tover
Ortigas Avenue , Mandaluyong
City
TIN; 0o0-390-189-000
RIR Accr #
11.60003901 892019081144
Date Lssued: 08/01 /2020
PTU #;
FP022024-098-0431817-QQ003
SAAN MAN PATUNGO KASAMA MQ  ANG
IYONG PABORITONG KAPiTBAHAy
BuY P2oQ HORTH OF ITEMS GET 4
CHANCE  TO WiN KAPITBIYAHE
TRAVEL  REHARDS Fer DTI FAI?
TRADE Perm | t Nunber :251863
Ser |es of
2028, facebook . cow/71Iphl I ppIne
S .
thIS DOCuMENT  IS NQT UALiD for
CLATM OF  INput TAK",0.5731
receipt_07.jpg,fresh,"7-ELEVEQD ,
RIIAINLLI^ CONUCNILNCE STur:
Othn / 8 Opvortcd by: EMILYV
Ruxan Y_ G0
VAIRLGI IN 4937 . 730)- 464: 00}
Gwlamn Uiccntq Roa) SL.
(JuJVlh) (Ju 0o City, Migaa | 9
(Ir Icintal PhAapp Irieg
Tul (02) ooguooo
05/ | 1/2026 (Mon) 17:U5:02
INVOic # 1 00250627   RESET_ CNThuco)
$IORL I2423 SNI}:KTN41687
MIN H: 2402 1 7 | 85309| 0420
STAFF;RYAN DATU
CloudqClassihar28g OQu
Tota|   Amount Due (1) 11.00
CASH 15.00
CHANGE 4 ,D0
Vatable 9,82
UAT_Amt 1.18
UAT Exenpt Sales 0,. QO
Zero_Rated Sa le8 I,00
Loyalty No=
Name:
Address
1IN: _
Ptil ipplne Seven Corporation
7th Floor The Columbla Tqwer
Ortigas Avenue , Maricla |uyong
City
TIN: 000-390-1 89-QO0
HIR Accr
 160003901 892019081 144
Date Issurd: 08/0 1 /2020
pTU #:
FPOz2024-098-0431 B17-00003
SAAN MAN PATUNGO KASAMA MQ ANL
iyuNG  PABORITONG  KAPiTBAHAY
BuY  P2OO  VORth QF  TTEMS  GET A
CHANCE   TO WIN KAPTTAIYAHE
TRAVEL REHARDS Per DTI FAIR
TRADE   Perm + Number;251GE0
Ser |es of
202G. facchouk . COM/I Ipph/ H ppIne
8 _
THIS IS AN INVOICE",0.5173
receipt_08.jpg,fresh,"""7-ELEVEID _
RIIAINLILA CUNUENILNCE stoR:
Oulled & Operaled by: EMILYV
ROXAN Y GO
( inlgtin 1937 13U- 464-Qu}
Cuitamn Uiccnte Rua St ,
CacvJi) Dc (ro Cty, Mlsam/o
OrIcnta) _ Ph/ / ppInos
Ic| H: (02) OoQuooo
05/ 1 1/2026 (Mun) 17:03:65
INVOICE 41.00250625  RESET _ CNTIOoo,
STORE #2423 SNI : XTN41687
hiN 24021718530910420
STAFF:RYAN DATU
CZGreenTAppleIL 63 . OOV
IceCupSel | ing 1 0.OOU
Tota|   Amount Due (2) 73.00
CASH 73. QQ
CHANGE 0 . Q0
Vatable 65.18
VAT_Amt 7.82
UAT Exempt Sales 0.00
Zero_Rated Sales 0.00
Loyaltv No=
Name
Address :
TIN: _
Philupplne_Seven Corporatio
7th Floor The Columbia Tower
Ortigas Avenue, Mandaluyong
City
tin: QO-590-|89-Q00
BIR Accr
1160003901892019081144
Uate Issuecl: 08/01 /2020
PTU #:
FPO22024-098-0431817-00003
SAAN MAN PATUNGO KASAMA MC ANG
IYONG  PABORTTONG  KAPITBAHAY
BuY   P2oQ HORTH OF ITEMS  GeT 4
CHANCE   TO WIN KAFITBIYAHE
TRAVEL  REWARDS Fer DTI FAI?
TRADE Perm| t Number ;251880
Ser |es of
2026. facebock. cOm/71 Iphi) Ippirie
S_
THIS IS AN INVOICE",0.5833
receipt_09.jpg,moderately_faded,"40} QI IVA XVL LON JOdNI SI Jo WIV7J
JNJHOJOO
SI
7-ELEVEDD .
RiAINFLLA CONUENIENCE STOR:
Olv nccl & Oporatcd by: ENILYV
ROXAN Y, GO
uAtRLGIiN I937-730)-464-04J3
CapljIl) Uiconto Rqa St.,
Caqavan) De Uro Gltv, Mlgamlg
Or|enta| , Phl - Ippincu
To| HL (02) OoooOuo
05/| 1/2024 (Hon) 16; 42:| |
INVOICE #1002506| | RESET_CNT HCOC
S)ORLH2423 SNH :Xtn41G87
min !: 2402171,8530910420
STAFF:RYAN @ATU
NaturesSDwter350m] 1 0.OOU
Tota]   Amount Due (1) 1D,Oo
CASH 10.O0
0.DO
CHANGE
B,93
Vatable
1,07
Vat_Ant
0.00
UAT Exempt Sales
Zero_Rated Sales 0,00 Aopto 7 pcs
Je0
7,
Loyaltv No: X&)
Name
Address_
TIN=
Phl ! ipplne_Seven Corporatlon
7th} Floor The Columbia Tower
Ortiqas Avenue , Maridlaluyong
City
TIn; 000-390-189-Oo0
BIR Accr
1 160003901892019081144
Date Isgued: 08/01 /2020
PTU #;
FP022024-098-0431817-Q0Q03
Saan Man Patungo KASA4A MQ ANG
IyonG PABORITONG KAPitBahay
Buy Fzon Horth Of ITES GET
""CHANCE To WiN KapiTEIYAHE=
TRAUEL REWARDS Per DTI_FAT?
TRADE Permtt Number:251661
Ser Ies ot
2026, facebook. comV/71 Iphi ) ppIne
5
THIS IS An INUOICE",0.4995
receipt_10.jpg,moderately_faded,"7-ELEMEDD 0
RHA INELLA CONVENIENCE  STORE
Owned & Operated by; EMILYN
ROKAN Y, GQ
VATREGTIN #937-730-464-003
CaptaII1 Vlcente Roa St.v
Cagayan De Qro Clty, Mlsam |s
Or /erta] , Ph/ I Ippines
Tel #: (02) OQOOooo
05/11/*2026 (Mgn) 16:44;40
inuoice   Ii 1 00250G1 3 RESET_CNtikooo
STORE#2423 SNIF:KTN41687
MIN #: 2402171,8530910420
STAFF. RYAN DATU
7Select PHIDN52Sm | 25.OOU
""TFRSHSTOPPREMASADO 55,OQU
Total Amnount Due (2) 81 . O0
CASH 1 D0.Q0
CHANGE 19,00
Vatable 72.32
VAT_Amt 8,68
VAT Exelpt Sales QQ
Zero_Rated Sa]es 00
Loyalty No:_ Ttt Ke
Name :
Address =
TIN=
Ph/I ppIne Seven Corporation
7th Flodi"" The Columbla Tower
Ortlgas Avenue, Manda |uvong
F 2225 city
TIN: 000-390-1 89-Qo0
BIR Accr #
1160003901 89201 99081144
Date Issued;  08/01 /2020
PTU #:
FPo22024-098-0431817-Q0003
SAAN MAN PATUNGO KASAMA MO ANG
IyOnG  PABORITONG  KAPITBAHAY
Buy P2Q0 WORTh QF ITEMS  GET 4
CHANCE   TO WIN KAPITBIYAHE
TRAUEL   REWARDS Per DTT FAIR
TRADE   Perm| t Number:251GE0
Ser | es ot
2026 , faceboak , cOM/71Iphl I ppine
5
thIS IS An INUOICE",0.5745
