filename,condition,ocr_text,avg_confidence
receipt_01.jpg,fresh,"° -ELEYE,
Neribrog Ine, .
° Owned ¢ Operated by: Ner tbrog
Ine,
VATREGTIN ¥479-423-988 000
Unit 4 3 9, Rea] Nare Bul ld ing,
: Pinikitan, Cagayan De Org City,
Misamis Orental, Phi pp inigs
Tal 2: (02) 0000009
05/10/2026 (sun) 17:06:05
. INVOICE #1456745 RESET_cNTyo
STORE#2006 SN# 9200064.
MIN gs 2106171638 1259046
[STAFF Apr qy Rose J, Zabal lero
NaturesPur ipwsogm 7 15,00y
nd Me Chips 989 35,00
Tota] (2) 50.00
CASH 50.00
CHANGE 0.00
Vatable 44,64
VAT_Amt 5.36
Zero_Rated Sales 0,00
VAT Exempt Sales 0,00
Loyalty No: —
dhs
rH
eee
Philippine Seven Corporation
7th Floor The Columbia Tower
Ortigas Avenue, Mandaluyong
City
, TIN: 000-390- 189-999
BIR Acer #
|16-000380189-c0a346- 19599
Date Issued: 08/01/2020
PIU ge
*P062021-098-0293524-aggqy
SAAN MAN PATUNGO KASAMA Mo ANG
IYONG PABORTTONG KAPTTBAHAY
BUY P2009 WORTH OF ITEMS GET A
: CHANCE Tg WIN KAPTTBIYAHE
TRAVEL REWARDS Per DTI FAIR
TRADE Permit Number: 251660
| Serfes of
2026. facebook com/7 1 Iphil} Paine
S,
- THIS IS an INVOICE -",67.7
receipt_02.jpg,fresh,"ELEVEN,
V
/ i Neribros Inc.
L Ohned g Operated by: Heribros
Ine,
uy VATRE@ Try #479-429 968 -0gq
; prit 4&5, Rea] Maro Bul Iding, ‘
Mea cama be Oro City,
ental, Hopj
Ta] Hr ¢ 02)o00aaq9"" es
, 95/10/2026, Sun) 16:34,94
. AR #109989, RESE 0
STORE#2006 shi oz5cn (
MIN @, 2106171638 1258246
STAFF Apri] Rose y, Zabal lero
Kk Acknowledgement Recalpt 4%
ReFerenog No: 2653-0035-0097
Account No: 09363247 109
Pata Tos Kiosk_Gcasu ~
, CONNECT 200.97 C)
Convenience ia K 2,03
{ fe
; Effective May I?7, 202] ;
7-E leven chargas a 1%
Cotivenience fee on ay] GCash
Cash In transact jang.
This transact jan Is non-
refundab |. For Inquiries,
kindly Cal] 2999 for mobi Te or
(02) 7392880 for landling. |
Total ¢ 1) 203.00
CASH » 205.00
CHANGE 2.00
\
Loyalty Nor my
Name; ee
Addrass: . :
ri oe
TIN a
Phi lppine Seven Corporat jon )
7th Floop The Columbia Tower
Ortigas Avenue, Mandaluyong
City
TIN: 000-390- 189-99
BIR Acer #
116000399 189-000346. 15602 °
Date Issued: 08/01/2029 OQ
PTU #:
*P052021-088-0099624.caggg
SAAN MAN PATUNGO KASAMA MO ANG
IYONG PABORT TONG KAPT TBAHAY
BUY P2009 WORTH OF ITEMS GET A
CHANCE TO WIN KAPTTBY YAHE
TRAVEL REWARDS Per pry FAIR
TRADE Permit Number :25 1669
Series of
2026, facebook, Com/71 (phi 1; Pp ing
, me THIS DOCUMENT I$ Nort VALID FoR
CLAIM OF INPUT Tay .",68.65
receipt_03.jpg,fresh,"f-ELEWEND.
eK Repr Int From eee
FH Electronic Journa] seeks
Sale
Sun May 10 17:04:24 CST 2026
<s*-""**= Logo goos harg ---=-=«)
Neribros Ino,
Owned & Mperated by: Nortbrag
ne,
VATREGTIN #479-423-999-000
Unit 4&5, Real Nare Bul lding,
Pinikitan, Cagayan De Oro City,
Misamis Oriental, Phi Hppines
Tel #: (02)0000000
/ 05/10/2026(Sun) 17:04:24
\ INVOICE #2469543 RESET_CNT#O
STORE#2006 SN#:9Z00065, y
MIN #: 21061716381258247
STAFF:Jessa Petd]
selectaBPipCaC6dm]
22.00 X 2 44,00V
Total (2) 44,00
CASH 50,00
CHANGE 6.00
Vatable 39,29
VAT_Amt 4.7)
Zero_Rated Sales 0.00
VAT Exempt Sales 0.00
Loyalty No: ae
| Name: enc ie
Address;
TIN;
Philippine Seven Corporation
7th Floor The Columbia Tower
Ortigas Avenue, Mandaluyong
City
TIN: 000~390- 189-158
BIR Accr #
116-000390 189-000346~- 19602
Date Issued: 08/01/2020
PTU #: —
FP06202 | -098-0293525-00000
, C=
SAAN MAN PATUNGO KASAMA MO ANG on
TYONG PABORITONG KAPITBAHAY
BUY P200 WORTH OF ITEMS GET A
CHANCE TO WIN KAPITBIYAHE
TRAVEL REWARDS Per DTI FAIR
TRADE Permit Number :251660
Series of
: 2026, facebook .com/711phi Tippine",78.77
receipt_04.jpg,fresh,"\
7-ELEVEM.
RHATNELLA CONVENZENCE STORE
Quned & Operated by: EMILYN \
ROXAN Y. 60
YATREGTIN 4937-7307464-003
captalt Vicente Roa St.is
. cagayan De Ore City: Misainls
Griental, Phi 1 ippines
Tel tf: cg) no00000
98/11/2026 Hor) 19:42:41
TNUVOICE 4200314336 RESET CNTHOOO
. STOREHZA23 GNI XTN41688 —
MIN #: ngg2i 718530e 0421
STAFF RYAN DATU
agelectDistDHS25m 24 00
Total amount Due ap) 24.00
CASH 100.00
CHANGE 76.00
VYatable 21.43
VAT Amt 2.57
) VAT Exempt Sales 0.00
Zero_Rated Sales 0.00
Loyal ty NOt .--enneeeeen |
Name; ener
AAUP EBS annem
TONS ene
Philippine Seven corporation
7th Floor The Columbia Tower
Ortigas Avenue. Mandaluyong
City
TIN: qga-3a0-189-000
BTR Accr #
= pap EFS 1 aq003901892019081 144
1 ale 7) nate Iesued: 08/01/2020
PTU #:
-poz2n24-098-043181 800008
SAAN MAN PATUNGO KASAMA Wa ANG
TYONG PARORTTONG KAPTTBAHAY
BUY P200 WORTH OF TTEMS BET A
CHANCE 10 WIN KAPTTBLY ANE
TRAVEL REWARDS Per DTT FAIR
TRADE Parmit Number 1251880
Series of .
none. tacebank.con/71 eh TIPPINE
8.
- THIS IS AN INVOICE -",62.21
receipt_05.jpg,fresh,". 7-GONNECT
Please bring this slip to the
: cashier for payment.
. Php 1,300.00
9653-0027-636)
Payment slip valid until |
May 10, 2026, Sun 3:15 PM
GCASH CASH IN
Hobile Number ; 09526499364 ,
Amount : Phe 1287,00
Convenience Fea : Php 13.00 |
For inquiries, kindly call 2882 for
mobile or
(02) 7392882 for landline,
No need to get this slip next time!
th pay bills or buy Joad, download
gy® GL 100 app at cl iqq.net/app.
hop online at cl iqqshop,com",79.13
receipt_06.jpg,fresh,"aN >
— 7-RLEWEnD,
RHATNELLA CONUENTENGE STOR?
Owed g Overa tec by; EMIL YY ’
. RONAN Y. gg (
UAIREGTIN 1937-730 -t64-n93 Y
Laplaty Yicenty Roa St.,,
Cagayan De fra cfty, Nisauis
a (CODal, Pry Tipp rey
Tol pts (02) HOOnULIO
O71 One on) IGibas de
AR todd 93 RESET CNT HOGG
STOR diqag SNItXTNG 168/
MIN q. “4021 1185309} a42n
( STAFL sRYAN DATU .
tx Ackriow] adgement Receipt rx
Re ference No: 2653- 1041-0493
Account Na: N5G3507
Paid To; K108k 811 1sPaymenyt
?-CONNECT 2000.00
NFO63407
9382550576
0893925605 7g
Alnouryt ; 2000
“2nver ance Fee: O90
Total] Amouryt + 2000
Emas) address:
tT eouPAOrt. Bhi} seven, con
(— Hot) ines: Lara ines
> L818-5651/ 02) 7622-69
For SAR] Subscr jhers:
7g e-ECPAY 0919-08- 30709) 9g
18-2755865/0919-0739 79g For
GLOBE SUDSCr ibars:
7a eECPAY C081 7-72-s0709) ppg
65 °982/0967-2e4700a/age8 fe
7166
Sota] Amount Nue () 2000.00
CASH 2000, 00
CHANGE 2,00
Loyal ty MO
Nane; a ee el
; a
PM a enn
PHT poine Seven Corporattan
7th Floor The Columbia Tower
Ortigas Avenue, Mandaluyong
City
LIN: UN0-390-189-p9q
BIR Ac.zr t
1600039018920) 9981 | 44
Date [saued: 08/01 /2n2p
C4 PTY dt.
10?2024-068-048181-pa9q9
SAAN MAN PATUNGO KASAMA NO ANG
TYONG PABORL TONG KAPTTBAHAy
BUY Pog WORTH OF ITEMS GET 4A
CHANCE TQ WIN KAPT TATYAHE
IRAVEL RENARDS Per pT] FAT?
TRANE Parigyt Number : 25 864
Ser les of
cneg, facebook. COM/7 I ph | Hipaine
s.
THIS DOCUMENT TS NOT UAL TD “OR
CLATM OF INPUT TAX
we",54.18
receipt_07.jpg,fresh,"— @-ELEWEND.
RHAINEL LEA CONUPNIDNCE STAR
Bw & Operated bys EMELYY
ROXAN Y. GO
VATREGLIN #9370 730 464 Gag
Coote Uieente Roa St.,,
Catdvan De Oro Chey, Misa
Oriental, Philippines
Tel #: (2) 000UNU0
NO7VI 72026 (Mon) 17:05:02
INVOICE 4100250627 RFESCT CNT IUOO
STGRE M2123 SNH SX TNA1 G87
NIN Hs 2402) 718530910420
STAFF :8YAN DATU
Cloud lass thar28g 11. 0quU
Tata) Amount Due (1) 11.00
CASH 15.00
CHANGE 4,00
Vatable 9,82
VAT. Amt 1.18
VAT Exempt Sales 0.00
Zero_Rated Sales 9,00
loyalty No:
Name:
Address:_o0 oe
AND
Phitipoine Seven Corporation
7th Floor The Columbia Tower
Ortigas Avenue, Matidaluyong
City
JIN: G00-390-189-000
BIR Accr tt
1160003901892019081 144
Nate Issued: 08/01/2020
PU #:
FP022024-098-0431 8117-00003
SAAN MAN PATUNGO KASAMA MO ANG
{ I/0NG PABORTTONG KAPTTBAHAY
BUY F200 WORTH OF ITENS GFT A
CHANCE TO WIN KAPTTBLYAHE
TRAVEL REWARDS Per DTI FAIR
TRADE Purwtt, Nuber: 251663
ores af
026, tacchouk .com/7 11 ph Lipaine
S.
~ JHIS IS AN INVOIVE -",64.42
receipt_08.jpg,fresh,"o 7
¢-ELEWEND.
RUATNELLA CONULNTLNCE STOR,
Qunied & Operated by: OMT YN
ROXAN Y. GO
UALSLGTIN 1937 730 464-013
——S Reotain Uicente Rua St..,
‘ Cacayan De Gra City, Mtoaws
Se Oriental. Philippines
lel ts (02) 0000000
QO7V172N26 (Mon) 17:03:58
INUOICE H100250625 RESET _CNTWOOO
STORE #2423 SNil: XTN41687
MIN #: 24021718530910420
STAFF :RYAN DATU
CebreenTApplell 63.00U
TeeCupsel] tng 10.00VU
lotal Asount Due (2) 73.00
CASH 73.00
CHANGE 0.00
Vatable 65.18
VAT_Amt 7,82
UAT Exempt Sales 0.00
Zero_Rated Sales 0.00
Loyalty NOs
Name:
Adgress; oo
ee
Philtpaine Seven Corporation
7th Floor The Columbia Tower
Ui tigas Avenue, Mandaluyong
City
(IN: 000-390-189-000
BIR Accr 4
1160003901 892019081144
Date Issued: 08/01/2020
PTU #:
FP022024-098-0431817-00003
SAAN MAN PATUNGO KASAMA MO ANG
YONG PABORTTONG KAPITBAHAY
BUY P2O00 WURTH OF ITEMS GET A
_ CHANCE TO WIN KAPITBIYAHE
RAVE! REHARDS Per DTI FAIR
TRADE Ferm] t Number: 251680
series of
CU26. Facebuuk..com/71Iphi li pone
- S.
THIS 15 AN INVOICE -",61.23
receipt_09.jpg,faded,"FF XVI =|
yy [TAT 4
a
C-ELEMEDN. |
RHATNE ELA CONULNILNGL S102 |
Qed & Aerated by: LMILYN
RUXAN Y. GO
VALREGIIN 937-730-464 -014
taplath Uicente Roa St...
Cagayan De Ora City, Aboaws
Oriental, Phil lppines
Tel ti 2) GhoOonNd !
OSAVZ2020 (on) 1:42:14 |
INUOLe: HOOZ50G11 RESET CNTHGOO
SVR 2423 SNH: TN41687
MIN H: 24021718530910420 ;
STARF :RYaR DATU
NaturesSNWter350ml 10. 00U
Yotal Ateount Due (1) 10.00
CASH 17.00 |
CHANGE 7.00 |
Vatable 8,93
UAT_Amt 1.07
UAT Exeinpt Sales 3.00 L
Zero_Rated sales 3.00 ne.
poo
Loyalty NOt_---- ---------------~ Ty
NANG}. = 22 -neee meee rN
> icddress!_.-- --------- 2-0-0007 ow
TIN: . uceeenee cence coe ~’
Phil jpeine Sever Corporation
7th Floor The Columbia Tower co
Ortigas Avenue, Manidaluyong
i) City
U TIN: 000-390-189-G00
BIR Accr #
116000390189701 9081144 :
Date Issued: 98/01/2020
PTU #:
Fpnz2024-098- 043181700003 -
SAAN MAN PATUNGO KASANA MO ANG a
TYONG PABORITONG KAPLTBAHAY
guy P20) WORTH OF ITEMS GET A
CHANCE TO HIN KAPITBIYAHE .
TRAVEL REWARDS Per DTI FAIR
TeUADE Perm t Number: 251683 7
Series of )
0026. facebook .cam/711plvi 1 ipa tte ;
S. ot
- THIS IS AN TNVOICE - .
<x",57.04
receipt_10.jpg,faded,"a ce ae
¢- ELEVEN. :
RHATNCLIA CONVENIENCE STOR® H
Owned & Operated by: ENMILYN |
ROMAN Y, GO
° UATREGTIN #937-730-464--003
Captain Vicente Roa St.,,
Cagayan De Oro City, Misamis
Oriental, Philippines
Tel #: co2 0000000 :
05/11/2076 (Man) 16:44:40
TNUGTCE #100250613 RESET_CNIHOO0
STUREH2423 SNi sXTN41687
MIN #: 24021718530910420
STACF.RYAN DATU
7Select PHSDNS25m} 25.00U
J FRSHSTOPPREMASADO 55.00V
Total Amount Due (2) 81.00
CASH 100.00 i
CHANGE 13.00 ‘
Vatable 72.32 Ss
VAT Amt 8.68 RE >
UAT Exempt Sales 0.00 : <
Zero_Rated Sales 0.00 .
Loyalty NOt
Na@RG so oe ne nee ert me ence .
Addr@S$:_..- oS
TIN:
Philippine Seven Carparation
7th Floor The Columbia Tower
eames Ortigas Avenue, Mandaluyong
F| PBAAARMNZFY City
Fl 9 0 By) TIN: O00-390-189-000
BIR Acer #
1160003901 892019081144
Date Issued: 08/01/2020
PTU #:
| FPO27024-098-0431817-N0003
SAAN MAN PATUNGO KASAMA MO. ANG )
_TYONG PABORITONG KAPITBAHAY
BUY P200 WORTH OF ITEMS GET A
_GHANCE TO HIN KAPITBIYAHE
TRAVEL REWARDS Per DTT FAIR
TRAOE Permit Number:251660
Serjes of
2026. tacebook.cam/711 ph) 1 ippine
5.
- THIS IS AN INUOTCE -
nr
Cf",65.91
